alias,EC446_auxin0_tev.EAC22,EC446_auxin0_total.EAC22,EC446_auxin15_tev.EAC22,EC446_auxin15_total.EAC22,EC446_auxin30_tev.EAC22,EC446_auxin30_total.EAC22,EC446_auxin60_tev.EAC22,EC446_auxin60_total.EAC22,EC450_auxin0_tev.EAC22,EC450_auxin0_total.EAC22,EC450_auxin30_tev.EAC22,EC450_auxin30_total.EAC22,auxin0,auxin30,description,short_description
ATP8,-1.5,2.25109402415,-1.5,1.8293132569,-1.5,1.47054801298,1.02185324152,1.76519881378,-1.5,2.20078851723,1.66598655705,2.10233420875,0.906782677452,0.650583240804,Subunit 8 of the F0 sector of mitochondrial F1F0 ATP synthase; encoded on the mitochondrial genome; ATP8 and ATP6 mRNAs are not translated in the absence of the F1 sector of ATPase,Subunit 8 of the F0 sector of mitochondrial F1F0 ATP synthase; encoded on t...
SCEI,-1.5,1.04938403827,-1.5,-0.0909622893703,-1.5,-0.14869753763,-1.5,-0.0549615796099,-1.5,1.03384063761,-1.5,0.810447592524,-1.5,-1.5,I-SceI DNA endonuclease; encoded by the mitochondrial group I intron of the 21S_rRNA gene; mediates gene conversion that propagates the intron into intron-less copies of the 21S_rRNA gene,I-SceI DNA endonuclease; encoded by the mitochondrial group I intron of the...
SSA1,2.23945260604,2.93410089978,2.86679237395,3.26073891597,3.32460130901,3.73712696769,3.42729376011,3.90758698024,2.72907999569,2.88517520174,3.16034924618,3.5904102576,2.50660455687,3.26901260204,"ATPase involved in protein folding and NLS-directed nuclear transport; member of HSP70 family; forms chaperone complex with Ydj1p; localized to nucleus, cytoplasm, and cell wall; 98% identical with paralog Ssa2p, but subtle differences between the two proteins provide functional specificity with respect to propagation of yeast [URE3] prions and vacuolar-mediated degradations of gluconeogenesis enzymes; general targeting factor of Hsp104p to prion fibrils",ATPase involved in protein folding and NLS-directed nuclear transport; memb...
SYN8,0.97768962199,1.49103297483,1.10125843808,1.33596339037,1.26069062906,1.4832830971,1.21737305242,1.68408306796,1.54744340383,1.5424363638,1.24171760966,0.774975274362,1.37181543256,1.54333239446,Endosomal SNARE related to mammalian syntaxin 8,Endosomal SNARE related to mammalian syntaxin 8
FUN26,2.44159127097,1.55205939747,2.1487366727,1.5578411055,1.87586812303,1.54230353703,1.82211284851,1.67080160131,1.37879573934,1.71260725586,2.01394849304,1.64411617076,1.60692713156,1.64363980035,"Vacuolar membrane transporter with broad nucleoside selectivity; may regulate balance of nicotinamide riboside (NmR) levels between cytosol and vacuole, contributing to salvage of NmR for use in cytosolic NAD+ synthesis",Vacuolar membrane transporter with broad nucleoside selectivity; may regula...
SNC1,1.95286603826,2.25535602579,1.9118815087,2.1464181624,1.93167392949,2.15635052465,2.14901343812,2.4424347628,2.09665108784,2.29096514758,2.01940462218,2.22727294536,2.41053845078,2.44117511636,"Vesicle membrane receptor protein (v-SNARE); involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins; SNC1 has a paralog, SNC2, that arose from the whole genome duplication",Vesicle membrane receptor protein (v-SNARE); involved in the fusion between...
YAL037W,-1.5,-1.5,0.00210611110886,-1.5,-0.182526325805,0.193799071948,-1.5,0.491655012625,-1.5,-1.5,-1.5,-1.5,0.763572644791,0.683464467199,"Putative protein of unknown function; YAL037W has a paralog, YOR342C, that arose from the whole genome duplication","Putative protein of unknown function; YAL037W has a paralog, YOR342C, that ..."
GCV3,2.05687086804,2.70188634015,2.10017134244,2.55208377151,2.37431870405,2.60734535615,2.61357239951,2.8914979101,2.70693540107,2.64428159448,2.56393690439,2.5945192099,2.85068435355,2.77531755544,"H subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF",H subunit of the mitochondrial glycine decarboxylase complex; glycine decar...
ACS1,-1.5,-1.5,-0.123442161716,0.381258552489,-0.0650365499414,0.466190807797,0.628156199431,0.639108011866,0.89677407176,-1.5,0.494138264574,0.328425924944,0.47529707447,0.478734948329,"Acetyl-coA synthetase isoform; along with Acs2p, acetyl-coA synthetase isoform is the nuclear source of acetyl-coA for histone acetylation; expressed during growth on nonfermentable carbon sources and under aerobic conditions","Acetyl-coA synthetase isoform; along with Acs2p, acetyl-coA synthetase isof..."
FLO9,-1.5,-1.5,-0.437341577575,-1.5,-0.877246519588,-0.421739875789,-0.418136976251,-0.407185163816,-1.5,-0.0173529509313,-1.5,-1.5,0.0408237274074,-0.488376981305,Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation,Lectin-like protein with similarity to Flo1p; thought to be expressed and i...
PAU8,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions,Protein of unknown function; member of the seripauperin multigene family en...
SEN34,-1.5,0.981119206715,0.369495920353,0.882165564229,0.457864755505,0.959128889867,-1.5,1.05286484789,-1.5,1.36351581472,0.907895100597,1.04321275663,0.977994993829,0.767553047742,"Subunit of the tRNA splicing endonuclease; tRNA splicing endonuclease is composed of Sen2p, Sen15p, Sen34p, and Sen54p; Sen34p contains the active site for tRNA 3' splice site cleavage and has similarity to Sen2p and to Archaeal tRNA splicing endonuclease",Subunit of the tRNA splicing endonuclease; tRNA splicing endonuclease is co...
YAR028W,2.17136114587,1.52835729786,1.77707201806,1.35804774683,1.66009891316,1.50151447821,1.55572737111,1.4311902646,1.45982899025,1.68890515625,1.82310997703,1.2894208521,1.92637823352,1.87376622951,Putative integral membrane protein; member of DUP240 gene family; GFP-fusion protein is induced in response to the DNA-damaging agent MMS,Putative integral membrane protein; member of DUP240 gene family; GFP-fusio...
YAR064W,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,"Pseudogenic fragment with similarity to flocculins; YAR064W has a paralog, YHR213W-B, that arose from a segmental duplication","Pseudogenic fragment with similarity to flocculins; YAR064W has a paralog, ..."
LDB7,1.6518360426,2.02551740201,1.67303194999,1.83101304178,1.60676052717,1.86472491083,1.66967072341,1.99279989229,1.79562109217,1.84860599912,1.96701655272,2.040186302,2.10726837545,2.10997572856,"Component of the RSC chromatin remodeling complex; interacts with Rsc3p, Rsc30p, Npl6p, and Htl1p to form a module important for a broad range of RSC functions","Component of the RSC chromatin remodeling complex; interacts with Rsc3p, Rs..."
RRN6,-0.0442289710921,0.645205640805,0.28345982766,0.0277380584411,0.46873867582,0.43240080808,0.274635705384,0.707191444688,0.0995560784787,0.453570981086,1.17404152602,0.70729919072,0.805478416346,0.835331819393,"Component of the core factor (CF) rDNA transcription factor complex; CF is required for transcription of 35S rRNA genes by RNA polymerase I and is composed of Rrn6p, Rrn7p, and Rrn11p",Component of the core factor (CF) rDNA transcription factor complex; CF is ...
PIM1,0.932059883888,1.78535129842,1.418927223,1.87325863315,1.54097137104,1.99356653255,1.59662495095,2.0966148917,2.48802538125,1.76565193799,2.45286573166,2.02491263622,1.3911265014,1.7332006809,ATP-dependent Lon protease; involved in degradation of misfolded proteins in mitochondria; required for biogenesis and maintenance of mitochondria,ATP-dependent Lon protease; involved in degradation of misfolded proteins i...
YBL029C-A,1.53604068543,1.84526405562,1.0575495102,1.72195106727,1.50130600334,1.58168093096,1.7579953489,2.06725429866,1.37879573934,2.03384063761,1.07306994516,1.90735760553,2.10625775506,1.85700717837,Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery; protein abundance increases in response to DNA replication stress; has potential orthologs in Saccharomyces species and in Yarrowia lipolytica,Protein of unknown function; green fluorescent protein (GFP)-fusion protein...
APL3,0.896384682312,1.28478929855,0.752347258231,1.3147046863,0.953420373574,1.19617377259,0.677647356686,1.24739047029,0.994412241324,1.3236035602,0.938563920363,1.24997283545,1.4538065537,1.34435307242,Alpha-adaptin; large subunit of the clathrin associated protein complex (AP-2); involved in vesicle mediated transport,Alpha-adaptin; large subunit of the clathrin associated protein complex (AP...
YBL044W,-1.5,-1.5,-1.5,-1.5,-1.5,-0.165019501697,0.139613393504,0.405837711043,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,Putative protein of unknown function; YBL044W is not an essential protein,Putative protein of unknown function; YBL044W is not an essential protein
TOD6,0.186949244299,1.09823260581,0.123431417036,0.463036256488,0.222795636489,0.347309061248,0.651941956451,0.742075014934,0.932794285198,1.08268920515,1.22912848235,0.46135615139,2.11460932114,1.74038745911,"PAC motif binding protein involved in rRNA and ribosome biogenesis; subunit of the RPD3L histone deacetylase complex; Myb-like HTH transcription factor; hypophosphorylated by rapamycin treatment in a Sch9p-dependent manner; TOD6 has a paralog, DOT6, that arose from the whole genome duplication",PAC motif binding protein involved in rRNA and ribosome biogenesis; subunit...
SKT5,1.1784426604,1.45290392433,0.860165982125,1.33512342458,1.03986495291,1.29091869377,1.05546184251,1.35998776822,1.05338239768,1.37521261691,1.50461855482,1.66112550992,2.06711664472,1.99300592163,"Activator of Chs3p (chitin synthase III) during vegetative growth; recruits Chs3p to the bud neck via interaction with Bni4p; SKT5 has a paralog, SHC1, that arose from the whole genome duplication",Activator of Chs3p (chitin synthase III) during vegetative growth; recruits...
YBL071C-B,-1.5,-1.5,-1.5,-1.5,0.437804961576,-1.5,1.4197932502,1.20889631301,-1.5,-1.5,-1.5,-1.5,0.9579351999,-1.5,"Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching","Putative protein of unknown function; identified by gene-trapping, microarr..."
YBL081W,0.341260729031,1.25254409054,1.15057128373,1.33750704463,0.882257099542,1.07976837991,0.701518090663,1.24162015782,1.33014381862,1.68415872122,0.781379975754,1.09278889084,1.72761214274,1.66634378816,Non-essential protein of unknown function; null mutation results in a decrease in plasma membrane electron transport,Non-essential protein of unknown function; null mutation results in a decre...
MRP21,1.35810528568,1.71654667853,1.45480195537,1.77249499603,1.32845012911,1.6510906679,1.23327246292,1.86747356575,1.64801837093,1.89729792301,0.798224532401,1.93354218843,2.11820189885,2.1132349895,Mitochondrial ribosomal protein of the small subunit; MRP21 exhibits genetic interactions with mutations in the COX2 and COX3 mRNA 5'-untranslated leader sequences,Mitochondrial ribosomal protein of the small subunit; MRP21 exhibits geneti...
ATP1,1.8239245592,2.64309679059,2.26810118588,2.74674195764,2.16797953169,2.60720527751,2.13793673288,2.59548853677,3.39367834105,2.57430787797,3.14485739821,2.56897059349,2.33450099616,2.43584775364,"Alpha subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated",Alpha subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is...
MIX23,1.09197373107,1.42922582485,1.40117912413,1.65060733323,1.56451272092,1.7752122933,1.94231732458,1.89600648405,1.23575878064,1.28874368758,-1.5,1.84350189288,2.06292370955,2.08878642949,Mitochondrial intermembrane space protein of unknown function; imported via the MIA import machinery; contains an unusual twin cysteine motif (CX13C CX14C),Mitochondrial intermembrane space protein of unknown function; imported via...
COQ1,1.18648991641,1.4859534493,1.73963158904,1.60524443216,1.99236966876,1.6230561453,2.12629992837,1.75351491034,2.90751137358,1.73004735914,2.63378774776,1.58583556011,1.41831275241,1.54905794013,Hexaprenyl pyrophosphate synthetase; catalyzes the first step in ubiquinone (coenzyme Q) biosynthesis,Hexaprenyl pyrophosphate synthetase; catalyzes the first step in ubiquinone...
IPP1,2.82213865394,3.27854034927,3.02626670079,3.36715944205,3.07379282276,3.41236019321,2.95107629445,3.35736138046,3.03549146961,3.20590323252,2.96306424804,3.13187352337,3.1016497998,3.06525383904,"Cytoplasmic inorganic pyrophosphatase (PPase); homodimer that catalyzes the rapid exchange of oxygens from Pi with water, highly expressed and essential for viability, active-site residues show identity to those from E. coli PPase",Cytoplasmic inorganic pyrophosphatase (PPase); homodimer that catalyzes the...
GAL1,-1.5,-1.5,-1.5,-1.5,-1.5,-0.801293593558,-1.5,-1.5,-1.5,-1.5,-1.5,0.458881532262,-0.259548744314,-0.691839440018,"Galactokinase; phosphorylates alpha-D-galactose to alpha-D-galactose-1-phosphate in the first step of galactose catabolism; expression regulated by Gal4p; GAL1 has a paralog, GAL3, that arose from the whole genome duplication",Galactokinase; phosphorylates alpha-D-galactose to alpha-D-galactose-1-phos...
CDS1,2.83265307714,2.21155415263,2.2572518889,1.89665117701,1.97852041632,1.93074100947,1.68332831977,1.87629817063,1.98204200423,2.02374590077,2.16443284908,1.86402193555,1.58849881316,1.98366213917,"Phosphatidate cytidylyltransferase (CDP-diglyceride synthetase); an enzyme that catalyzes that conversion of CTP + phosphate into diphosphate + CDP-diaclglyerol, a critical step in the synthesis of all major yeast phospholipids",Phosphatidate cytidylyltransferase (CDP-diglyceride synthetase); an enzyme ...
CHS2,2.03069223023,1.65430955763,1.37746485002,1.64672730411,1.35900237425,1.638417759,1.15083195593,1.64423385659,1.59874622719,1.72231220842,1.56772148996,1.75419166844,1.60979265959,1.40127663454,Chitin synthase II; catalyzes transfer of N-acetylglucosamine (GlcNAc) to chitin upon activation of zymogenic form; required for chitin synthesis in the primary septum during cytokinesis; localization regulated by Cdk1p during mitosis; phosphorylation by Dbf2p kinase regulates its dynamics and chitin synthesis during cytokinesis,Chitin synthase II; catalyzes transfer of N-acetylglucosamine (GlcNAc) to c...
ZTA1,0.383362080893,1.70961879038,1.42861737247,1.90248714177,1.67206150406,1.84319806544,1.71506398207,2.04033308221,0.828177126129,1.65931328345,1.47669384139,1.73695023403,2.09264533171,2.46273576602,NADPH-dependent quinone reductase; GFP-tagged protein localizes to the cytoplasm and nucleus; has similarity to E. coli quinone oxidoreductase and to human zeta-crystallin,NADPH-dependent quinone reductase; GFP-tagged protein localizes to the cyto...
PRP6,0.555408847299,0.818874726923,0.667982279093,0.998443739104,0.696765424261,0.921823146683,0.777363510765,1.11053461793,1.00022389253,0.849088816821,1.17161935308,1.1819982725,1.41060213271,1.24729650618,Splicing factor; component of the U4/U6-U5 snRNP complex,Splicing factor; component of the U4/U6-U5 snRNP complex
TRM7,1.31883684086,1.84554415526,1.25112289901,1.54461873474,1.05365323739,1.45936241283,1.21173278507,1.57679303665,1.83828550439,1.95493949121,1.70096414061,1.92060268234,2.07438582628,1.79711136355,"2'-O-ribose methyltransferase; methylates the 2'-O-ribose of tRNA-Phe, tRNA-Trp, and tRNA-Leu at positions C32 and N34 of the tRNA anticodon loop; crucial biological role likely modification of tRNA-Phe; interacts with Trm732p and Rtt10p in 2'-O-methylation of C32 and N34 substrate tRNAs, respectively","2'-O-ribose methyltransferase; methylates the 2'-O-ribose of tRNA-Phe, tRNA..."
ALG14,2.17581287818,1.55758691551,1.81278091886,1.36775522479,1.72656908598,1.39169002298,1.80546738761,1.49158628971,1.57923523826,1.87525819389,1.67144945275,1.70985709578,1.58893918278,1.47559007205,Component of UDP-GlcNAc transferase; required for the second step of dolichyl-linked oligosaccharide synthesis; anchors the catalytic subunit Alg13p to the ER membrane; similar to bacterial and human glycosyltransferases,Component of UDP-GlcNAc transferase; required for the second step of dolich...
ECM33,4.16941024989,3.22772193601,4.17010139181,3.17334080522,4.11894495301,3.09898107747,4.06841661758,3.03746908538,3.22934058576,3.2850022006,3.67997220327,3.20130450362,2.87790275342,2.84642485702,"GPI-anchored protein of unknown function; possible role in apical bud growth; GPI-anchoring on the plasma membrane crucial to function; phosphorylated in mitochondria; similar to Sps2p; ECM33 has a paralog, PST1, that arose from the whole genome duplication",GPI-anchored protein of unknown function; possible role in apical bud growt...
AAC3,0.897091426946,0.632283529404,0.895721506434,0.792967197425,0.798239245241,0.548145305807,0.437804853038,0.758386832899,1.97872856977,-1.5,1.03618067801,1.29643707065,1.42824447374,0.905383943057,"Mitochondrial inner membrane ADP/ATP translocator; exchanges cytosolic ADP for mitochondrially synthesized ATP; expressed under anaerobic conditions; similar to Aac1p; has roles in maintenance of viability and in respiration; AAC3 has a paralog, PET9, that arose from the whole genome duplication",Mitochondrial inner membrane ADP/ATP translocator; exchanges cytosolic ADP ...
PHO3,3.36196972261,2.44133110001,3.42647316439,2.41150577062,3.33198815154,2.29064361036,3.00905618952,1.97414833648,2.39441394142,2.52446673509,2.99909494116,2.40982566552,2.10552215871,1.80238668402,"Constitutively expressed acid phosphatase similar to Pho5p; brought to the cell surface by transport vesicles; hydrolyzes thiamin phosphates in the periplasmic space, increasing cellular thiamin uptake; expression is repressed by thiamin",Constitutively expressed acid phosphatase similar to Pho5p; brought to the ...
EXO84,0.632373562831,1.26381622775,0.894245077093,1.2293853994,0.844311214079,1.12009231417,0.604450753082,1.28440934648,0.174098621076,1.18132603746,0.77146281389,1.50884046125,1.4947752209,1.47414579243,Exocyst subunit with dual roles in exocytosis and spliceosome assembly; subunit of the the exocyst complex which mediates polarized targeting and tethering of post-Golgi secretory vesicles to active sites of exocytosis at the plasma membrane (PM) prior to SNARE-mediated fusion; required for exocyst assembly and targeting the complex to specific sites on the bud tip PM; associates the U1 snRNP; role in pre-mRNA splicing and prespliceosome formation; possible Cdc28 substrate,Exocyst subunit with dual roles in exocytosis and spliceosome assembly; sub...
ALG1,2.48785831709,1.44489916917,2.17431104014,1.47295727191,1.93119003586,1.45378541879,1.93166173018,1.627647769,1.67740085723,1.35472215021,2.14213948477,1.70536037285,1.77146814532,1.76415441511,"Mannosyltransferase; involved in asparagine-linked glycosylation in the endoplasmic reticulum (ER); essential for viability, mutation is functionally complemented by human ortholog",Mannosyltransferase; involved in asparagine-linked glycosylation in the end...
MUD1,0.432892283628,0.946235636469,0.878680394458,1.42913859922,1.1022071314,1.2731988676,1.13196820182,1.39211837164,-1.5,1.47476028016,-1.5,1.55239723073,1.75972092579,1.46506323732,U1 snRNP A protein; homolog of human U1-A; involved in nuclear mRNA splicing,U1 snRNP A protein; homolog of human U1-A; involved in nuclear mRNA splicin...
VMA2,2.13810067676,2.79332118813,2.41927734622,2.85329599916,2.40700089673,2.78671811455,2.25442175881,2.69340266752,2.63406824444,2.79178850191,2.37803023446,2.73519664011,2.63306679397,2.69515635843,Subunit B of V1 peripheral membrane domain of vacuolar H+-ATPase; an electrogenic proton pump found throughout the endomembrane system; contains nucleotide binding sites; also detected in the cytoplasm; protein abundance increases in response to DNA replication stress,Subunit B of V1 peripheral membrane domain of vacuolar H+-ATPase; an electr...
MEC1,0.231696853988,0.398252720606,0.161445644069,0.653911901857,0.267543246182,0.433449356099,0.431375122745,0.521508181228,-0.0224581051104,-0.270503193833,0.370786105047,0.585285007129,0.883423831986,0.68171864973,"Genome integrity checkpoint protein and PI kinase superfamily member; Mec1p and Dun1p function in same pathway to regulate dNTP pools and telomere length; signal transducer required for cell cycle arrest and transcriptional responses to damaged or unreplicated DNA; regulates P-body formation due to replication stress; promotes interhomolog recombination by phosphorylating the axial element protein Hop1p; associates with shortened, dysfunctional telomeres",Genome integrity checkpoint protein and PI kinase superfamily member; Mec1p...
ADH5,0.963861422566,0.273084792751,1.26712562199,1.57364754717,1.12192369303,1.49660714372,0.379636112049,0.932167168431,1.35068452082,1.25754139209,1.6148340346,0.63620833833,1.07412526261,1.31156216875,"Alcohol dehydrogenase isoenzyme V; involved in ethanol production; ADH5 has a paralog, ADH1, that arose from the whole genome duplication",Alcohol dehydrogenase isoenzyme V; involved in ethanol production; ADH5 has...
RIB7,-1.5,1.03306207421,1.12758737681,0.670866996947,0.95350512223,0.931890511311,1.09385590294,1.18398896143,1.14062502566,0.71648867788,1.50390601244,0.794125628457,1.9269537006,1.77050945454,Diaminohydroxyphoshoribosylaminopyrimidine deaminase; catalyzes the second step of the riboflavin biosynthesis pathway,Diaminohydroxyphoshoribosylaminopyrimidine deaminase; catalyzes the second ...
CSH1,2.26133962849,1.24320406429,1.89796928794,1.08512896968,1.85206693432,1.15906584069,1.8656292273,1.43111451776,1.47570575235,1.43178064628,1.70145887521,0.907357605533,1.44015985626,1.12770449553,"Mannosylinositol phosphorylceramide (MIPC) synthase catalytic subunit; forms a complex with regulatory subunit Csg2p; function in sphingolipid biosynthesis is overlapping with that of Sur1p; CSH1 has a paralog, SUR1, that arose from the whole genome duplication",Mannosylinositol phosphorylceramide (MIPC) synthase catalytic subunit; form...
PEX32,1.54643100115,0.679563112281,1.12653454119,0.618398030684,0.818366582074,0.810540255641,0.888776773475,0.955428736109,0.735973541284,1.08998844389,1.63436772976,1.34371665352,1.1693544213,1.06805694464,Peroxisomal integral membrane protein; involved in negative regulation of peroxisome size; partially functionally redundant with Pex31p; genetic interactions suggest action at a step downstream of steps mediated by Pex28p and Pex29p,Peroxisomal integral membrane protein; involved in negative regulation of p...
EHT1,1.73005326055,2.11845787678,1.86926121095,2.11729072486,2.05145696175,2.22477107416,2.06175516173,2.24626096515,2.29980704239,2.11245979402,2.22453016959,2.01870060675,2.19866519596,2.42777046309,"Acyl-coenzymeA:ethanol O-acyltransferase; plays a minor role in medium-chain fatty acid ethyl ester biosynthesis; possesses short-chain esterase activity; localizes to lipid particles and the mitochondrial outer membrane; EHT1 has a paralog, EEB1, that arose from the whole genome duplication",Acyl-coenzymeA:ethanol O-acyltransferase; plays a minor role in medium-chai...
MBA1,1.16203375612,1.48829046561,1.55511551644,1.71687436926,1.64812925663,1.4266855397,1.92180751466,1.71091057748,2.48191006475,1.6598337083,2.28339424022,1.64056064587,1.68493392784,1.59107106038,Membrane-associated mitochondrial ribosome receptor; forms a complex with Mdm38p that may facilitate recruitment of mRNA-specific translational activators to ribosomes; possible role in protein export from the matrix to inner membrane,Membrane-associated mitochondrial ribosome receptor; forms a complex with M...
AIM4,-1.5,1.42745680211,1.10214025459,1.30414381377,1.23326107017,1.37550326189,0.835038117075,1.55863963114,1.2620184815,1.01397339278,1.80139072734,-1.5,1.94913725554,1.71904062146,"Protein proposed to be associated with the nuclear pore complex; null mutant is viable, displays elevated frequency of mitochondrial genome loss and is sensitive to freeze-thaw stress",Protein proposed to be associated with the nuclear pore complex; null mutan...
BEM1,0.165956948851,1.35599391132,1.00133299399,1.37780306479,1.08261693332,1.34750606487,1.17501770535,1.49140863236,1.58849559938,1.26581689236,1.08319745029,1.28546189596,1.61956067066,1.58849596007,"Protein containing SH3-domains; involved in establishing cell polarity and morphogenesis; functions as a scaffold protein for complexes that include Cdc24p, Ste5p, Ste20p, and Rsr1p",Protein containing SH3-domains; involved in establishing cell polarity and ...
FTH1,2.23088167051,1.62806021105,2.24915075071,1.66187064268,2.04339960303,1.60219223914,2.11962165494,1.84177792813,1.63871314949,1.61251681038,2.05998608325,1.55545518706,1.78980268167,1.95993862525,Putative high affinity iron transporter; involved in transport of intravacuolar stores of iron; forms complex with Fet5p; expression is regulated by iron; proposed to play indirect role in endocytosis; protein abundance increases in response to DNA replication stress,Putative high affinity iron transporter; involved in transport of intravacu...
YBP1,1.25453991022,1.26848561364,1.11050248614,1.31476853649,1.07333643568,1.30219544699,1.06007115932,1.42696563875,0.921203705077,1.1203166477,1.33148125453,1.35285555826,1.81816950497,1.60180830746,"Protein involved in cellular response to oxidative stress; required for oxidation of specific cysteine residues of transcription factor Yap1p, resulting in nuclear localization of Yap1p in response to stress; YBP1 has a paralog, YBP2, that arose from the whole genome duplication",Protein involved in cellular response to oxidative stress; required for oxi...
TDP1,0.648630902725,0.559914264239,0.471169723158,1.11270839727,0.58756728191,0.866982666654,0.569555570529,0.797991327178,-1.5,1.21337764453,1.15569693908,0.445916555097,1.06327838045,1.00276575892,Tyrosyl-DNA phosphodiesterase I; hydrolyzes 3' and 5'-phosphotyrosyl bonds; involved in the repair of DNA lesions created by topoisomerase I and topoisomerase II; mutations in human homolog result in the neurodegenerative disease SCANI,Tyrosyl-DNA phosphodiesterase I; hydrolyzes 3' and 5'-phosphotyrosyl bonds;...
PBP2,1.13625653606,1.50347185323,1.02218233536,1.53338724098,1.11939657774,1.27851813092,1.04138693668,1.56347909113,0.43494354562,1.48792845256,1.20839899749,1.16762539447,1.86416846586,1.6243594454,"RNA binding protein; has similarity to mammalian heterogeneous nuclear RNP K protein, involved in the regulation of telomere position effect and telomere length; relative distribution to the nucleus increases upon DNA replication stress",RNA binding protein; has similarity to mammalian heterogeneous nuclear RNP ...
THI2,0.554926029593,-1.5,0.252526113417,0.228953050454,0.368923672168,0.171217802195,0.417858750418,0.537955032278,-1.5,-1.5,1.17113653537,-1.5,0.508842668781,0.581701951397,"Transcriptional activator of thiamine biosynthetic genes; interacts with regulatory factor Thi3p to control expression of thiamine biosynthetic genes with respect to thiamine availability; acts together with Pdc2p to respond to thiaminediphosphate demand, possibly as related to carbon source availability; zinc finger protein of the Zn(II)2Cys6 type",Transcriptional activator of thiamine biosynthetic genes; interacts with re...
HIS7,1.16516946997,1.83988082505,1.53671155243,1.86038578991,1.56274369818,1.93831314365,1.43827665589,1.74589365859,1.82746845942,1.91824192726,1.64668140186,1.55351972937,1.99607329359,1.8952367699,"Imidazole glycerol phosphate synthase; glutamine amidotransferase:cyclase that catalyzes the fifth step of histidine biosynthesis and also produces 5-aminoimidazole-4-carboxamide ribotide (AICAR), a purine precursor",Imidazole glycerol phosphate synthase; glutamine amidotransferase:cyclase t...
YBR255C-A,1.52689730599,1.51736191355,1.69185880725,1.6480823582,1.84149729914,1.62031033331,2.10583337045,1.96527881864,1.27274234689,1.50181851289,-1.5,2.00542419574,1.53003196785,1.5536732278,Putative protein of unknown function; may interact with respiratory chain complexes III (ubiquinol-cytochrome c reductase) or IV (cytochrome c oxidase); identified by sequence comparison with hemiascomycetous yeast species,Putative protein of unknown function; may interact with respiratory chain c...
SHM1,1.69403372239,2.48613067619,1.95326514049,2.38648382608,1.92393170258,2.26133903431,1.83897320157,2.12283985071,3.57421527424,2.50710410935,3.27350722829,2.31739417747,2.0117711871,2.09951029489,"Mitochondrial serine hydroxymethyltransferase; converts serine to glycine plus 5,10 methylenetetrahydrofolate; involved in generating precursors for purine, pyrimidine, amino acid, and lipid biosynthesis; reverse reaction generates serine",Mitochondrial serine hydroxymethyltransferase; converts serine to glycine p...
