alias,BirAHeh2Ssh1_+CHX_7minBiotin_input,BirAHeh2Ssh1_+CHX_7minBiotin_pulldown,BirAHeh2Ssh1_+CHX_7minBiotin_replicate_input,BirAHeh2Ssh1_+CHX_7minBiotin_replicate_pulldown,BirA_+CHX_2minBiotin_input,BirA_+CHX_2minBiotin_pulldown,BirAmVenusSsh1_+CHX_2minBiotin_input,BirAmVenusSsh1_+CHX_2minBiotin_pulldown,BirAmVenusUbc6_+CHX_2minBiotin_input,BirAmVenusUbc6_+CHX_2minBiotin_pulldown,BirAmVenusUbc6_+CHX_7minBiotin_input,BirAmVenusUbc6_+CHX_7minBiotin_pulldown,BirAmVenusUbc6_sec66delta__+CHX_2minBiotin_input,BirAmVenusUbc6_sec66delta__+CHX_2minBiotin_pulldown,sec63mVenusBirA_+CHX_7minBiotin_input,sec63mVenusBirA_+CHX_7minBiotin_pulldown,sec63mVenusBirA_+CHX_7minBiotin_replicate_input,sec63mVenusBirA_+CHX_7minBiotin_replicate_pulldown,sec63mVenusBirA_-CHX_1minBiotin_input,sec63mVenusBirA_-CHX_1minBiotin_pulldown,sec63mVenusBirA_-CHX_3minBiotin_input,sec63mVenusBirA_-CHX_3minBiotin_pulldown,sec63mVenusBirA_-CHX_5minBiotin_input,sec63mVenusBirA_-CHX_5minBiotin_pulldown,sec63mVenusBirA_-CHX_7minBiotin_input,sec63mVenusBirA_-CHX_7minBiotin_pulldown,sec63mVenusBirA_sec65-1_25C_+CHX_2minBiotin_input,sec63mVenusBirA_sec65-1_25C_+CHX_2minBiotin_pulldown,sec63mVenusBirA_sec65-1_30min37C_+CHX_2minBiotin_input,sec63mVenusBirA_sec65-1_30min37C_+CHX_2minBiotin_pulldown,systematic_name,description,short_description
ATP8,1.4513694676,0.0,2.04096618447,0.0,1.61263006578,0.0,0.813435210946,1.11088094584,0.536452684671,1.12996661926,1.61094558701,0.27677834892,1.91393398681,0.0,0.0,0.0,1.16084935984,0.0,1.15042441377,0.527012520135,0.987521643432,0.0,0.725496282352,0.0,0.28907648868,0.0,0.347100965031,0.0,0.0,0.0,Q0080,Subunit 8 of the F0 sector of mitochondrial F1F0 ATP synthase; encoded on the mitochondrial genome; ATP8 and ATP6 mRNAs are not translated in the absence of the F1 sector of ATPase,Subunit 8 of the F0 sector of mitochondr...
MDM10,13.489603758,4.32628515617,18.7552044126,9.4748165979,10.6697253801,10.4377939715,10.7053652741,8.33330776883,8.54743564143,5.23846435463,11.7989231284,6.1664961908,16.2526164085,8.68982135453,12.2474884371,7.65482040739,13.090720449,8.36480593628,10.6666111751,7.06868048286,9.64511723938,7.81706332861,9.37169707782,7.3054627812,10.5389888264,7.81282345164,12.451317196,6.86393779785,25.3190640183,15.1986061894,YAL010C,"Subunit of both the ERMES and the SAM complex; component of ERMES complex which acts as a molecular tether between the mitochondria and the ER, necessary for efficient phospholipid exchange between organelles and for mitophagy; SAM/TOB complex component that functions in the assembly of outer membrane beta-barrel proteins; involved in mitochondrial inheritance and morphology",Subunit of both the ERMES and the SAM co...
FUN26,42.2602257285,318.785239915,47.9266436263,221.675283732,45.7799981569,39.9030650361,40.5947035726,107.179005775,40.3337255632,97.5725825463,40.1733130748,79.8593906658,46.0483261997,97.9291403547,36.1443449972,142.455793466,37.7105607828,109.742250963,37.2892992096,99.0358791247,39.5088246842,70.9360121745,36.0341814387,54.3581509048,35.7763069617,47.8232428226,38.3865047096,142.324509116,35.4233841222,95.573950219,YAL022C,"Vacuolar membrane transporter with broad nucleoside selectivity; may regulate balance of nicotinamide riboside (NmR) levels between cytosol and vacuole, contributing to salvage of NmR for use in cytosolic NAD+ synthesis",Vacuolar membrane transporter with broad...
FUN19,5.9302786585,1.15640897615,15.3782422814,4.99849480342,2.92852781127,2.89468836461,1.74153411093,1.64573617366,2.56367180256,1.35000888354,4.87111552484,1.57401939456,9.63438031591,3.70410099834,1.54197602382,1.55247197827,6.19316358436,3.20870821136,1.39277650094,1.33483567762,4.90807245929,3.2834816085,3.64045354945,2.18704242921,1.13281144166,1.32726561212,4.16351895538,2.6616726285,71.1278988651,37.4306526363,YAL034C,"Non-essential protein of unknown function; expression induced in response to heat stress; FUN19 has a paralog, YOR338W, that arose from the whole genome duplication",Non-essential protein of unknown functio...
GCV3,323.288950471,124.613314514,427.923982302,190.042571741,256.746033122,299.955787743,231.481341986,156.506599767,244.917694861,115.861734313,255.276900866,139.544323767,299.639810626,147.751496033,302.618784168,241.091728326,240.184878314,193.393499697,332.354760846,301.816150353,241.023020085,241.138406907,274.023543347,278.804795466,290.646580154,310.677356669,304.624986441,146.980544401,1154.61777706,741.212679669,YAL044C,"H subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF",H subunit of the mitochondrial glycine d...
ECM1,32.3882714203,8.09517244724,23.2848422197,9.64211186396,29.4178696699,31.9790157336,42.3554734297,25.9049406104,41.4244885132,14.8093697401,40.799623114,24.5834196043,18.3045879365,10.2332179958,43.6690706282,31.2211907177,36.1849332984,29.7037872158,31.9208123483,31.4083588129,31.306815667,31.5483828622,42.6591814023,47.8208684605,39.3199750193,37.0334782776,33.688030529,13.5045908722,9.83990041157,6.65760450342,YAL059W,Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre-60S particle; shuttles between the nucleus and cytoplasm,Pre-ribosomal factor involved in 60S rib...
PAU8,0.0,0.0,0.206626741816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YAL068C,Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions,Protein of unknown function; member of t...
SEN34,17.659145735,7.05776589413,16.4828704864,8.09939652829,16.7610013425,16.4935500462,19.2982007613,13.4506665874,14.9191841223,7.37532266355,16.7902485998,7.55997618587,19.2815917185,11.0978714327,15.2991507236,11.4558716085,15.6179874254,11.0344528728,15.6706460686,11.1046523246,16.1840117983,12.4570869175,15.4413060095,13.0304381994,14.1920930186,13.3002007261,13.8641037485,7.40103872206,15.0583689523,9.25127175096,YAR008W,"Subunit of the tRNA splicing endonuclease; tRNA splicing endonuclease is composed of Sen2p, Sen15p, Sen34p, and Sen54p; Sen34p contains the active site for tRNA 3' splice site cleavage and has similarity to Sen2p and to Archaeal tRNA splicing endonuclease",Subunit of the tRNA splicing endonucleas...
YAT1,2.71661515627,1.30307091997,4.65018227638,2.16155932866,2.6680997439,2.6994274396,2.69709814009,2.07930239794,1.79305467591,1.32189137246,2.10483836775,0.860353980919,3.58242487026,2.11964802262,1.50986028853,1.10178043013,1.68606062918,0.823819823987,2.10204879242,1.19782108942,1.38630255265,1.14824800224,1.72169274645,1.32568520023,1.3913531406,1.19608049347,2.43633624159,1.18196655121,12.2301328711,6.61581733308,YAR035W,Outer mitochondrial carnitine acetyltransferase; minor ethanol-inducible enzyme involved in transport of activated acyl groups from the cytoplasm into the mitochondrial matrix; phosphorylated,Outer mitochondrial carnitine acetyltran...
LDB7,55.9048891718,24.9663750747,86.9047767052,34.4317611554,54.1141949313,63.4870688737,51.0271822755,36.0219483172,46.2819533421,24.8713508282,53.2158292887,29.8348928934,60.3068317314,33.0957912779,50.0944307074,40.2300355951,51.0814633048,43.3436249557,51.4722645129,45.8817945504,45.4127934368,45.383939422,49.1892298924,51.6242593854,48.4593449092,50.3825876951,55.6282660915,27.1468128146,75.3639723774,51.503456936,YBL006C,"Component of the RSC chromatin remodeling complex; interacts with Rsc3p, Rsc30p, Npl6p, and Htl1p to form a module important for a broad range of RSC functions",Component of the RSC chromatin remodelin...
